Phone timestamp;sensor timestamp [ns];X [mg];Y [mg];Z [mg]
2021-05-16T08:09:16.545;674467750508532820;-995;17;-226
2021-05-16T08:09:16.584;674467750548114175;-997;15;-230
2021-05-16T08:09:16.624;674467750587695530;-999;13;-235
2021-05-16T08:09:16.663;674467750627276885;-998;14;-237
2021-05-16T08:09:16.703;674467750666858240;-996;15;-238
2021-05-16T08:09:16.743;674467750706446243;-996;13;-239
2021-05-16T08:09:16.782;674467750746034246;-998;11;-240
2021-05-16T08:09:16.822;674467750785622249;-997;9;-242
2021-05-16T08:09:16.861;674467750825210252;-996;9;-244
2021-05-16T08:09:16.901;674467750864798255;-995;14;-244
2021-05-16T08:09:16.940;674467750904386258;-994;18;-243
2021-05-16T08:09:16.980;674467750943974261;-995;21;-246
2021-05-16T08:09:17.020;674467750983562264;-995;27;-252
2021-05-16T08:09:17.059;674467751023150267;-1002;42;-261
2021-05-16T08:09:17.099;674467751062738270;-1011;53;-266
2021-05-16T08:09:17.138;674467751102326273;-1019;58;-278
2021-05-16T08:09:17.178;674467751141914276;-1014;85;-290
2021-05-16T08:09:17.218;674467751181502279;-1000;116;-285
2021-05-16T08:09:17.257;674467751221090282;-994;108;-288
2021-05-16T08:09:17.297;674467751260678285;-980;72;-289
2021-05-16T08:09:17.336;674467751300266288;-974;34;-281
2021-05-16T08:09:17.376;674467751339854291;-984;-7;-276
2021-05-16T08:09:17.416;674467751379442294;-993;-58;-260
2021-05-16T08:09:17.455;674467751419030297;-994;-118;-241
2021-05-16T08:09:17.495;674467751458618300;-983;-179;-212
2021-05-16T08:09:17.534;674467751498206303;-976;-233;-175
2021-05-16T08:09:17.574;674467751537794306;-968;-280;-151
2021-05-16T08:09:17.613;674467751577382309;-961;-315;-135
2021-05-16T08:09:17.653;674467751616970312;-957;-345;-121
2021-05-16T08:09:17.693;674467751656558315;-951;-380;-107
2021-05-16T08:09:17.732;674467751696146318;-948;-416;-91
2021-05-16T08:09:17.772;674467751735734321;-946;-441;-78
2021-05-16T08:09:17.811;674467751775322324;-943;-450;-76
2021-05-16T08:09:17.851;674467751814910327;-936;-448;-84
2021-05-16T08:09:17.891;674467751854498330;-935;-445;-91
